"Date/Time,""Lat"",""Lon"",""Base"""
"7/1/2014 0:03:00,40.7586,-73.9706,""B02512"""
"7/1/2014 0:05:00,40.7605,-73.9994,""B02512"""
"7/1/2014 0:06:00,40.732,-73.9999,""B02512"""
"7/1/2014 0:09:00,40.7635,-73.9793,""B02512"""
"7/1/2014 0:20:00,40.7204,-74.0047,""B02512"""
"7/1/2014 0:35:00,40.7487,-73.9869,""B02512"""
"7/1/2014 0:57:00,40.7444,-73.9961,""B02512"""
"7/1/2014 0:58:00,40.7132,-73.9492,""B02512"""
"7/1/2014 1:04:00,40.759,-73.973,""B02512"""
"7/1/2014 1:08:00,40.7601,-73.9823,""B02512"""
"7/1/2014 1:12:00,40.6951,-74.1784,""B02512"""
"7/1/2014 1:23:00,40.7203,-73.9992,""B02512"""
"7/1/2014 1:45:00,40.7575,-73.9721,""B02512"""
"7/1/2014 2:07:00,40.7471,-73.9872,""B02512"""
"7/1/2014 2:48:00,40.7808,-73.9565,""B02512"""
"7/1/2014 3:11:00,40.7624,-73.9786,""B02512"""
"7/1/2014 3:14:00,40.815,-73.9095,""B02512"""
"7/1/2014 3:20:00,40.7498,-73.9813,""B02512"""
"7/1/2014 3:28:00,40.7623,-73.9797,""B02512"""
"7/1/2014 3:38:00,40.7274,-73.9904,""B02512"""
"7/1/2014 3:41:00,40.9131,-73.8969,""B02512"""
"7/1/2014 3:53:00,40.8048,-73.957,""B02512"""
"7/1/2014 4:01:00,40.7861,-74.0088,""B02512"""
"7/1/2014 4:09:00,40.7203,-73.9928,""B02512"""
"7/1/2014 4:21:00,40.7679,-73.9918,""B02512"""
"7/1/2014 4:47:00,40.6879,-74.1816,""B02512"""
"7/1/2014 4:52:00,40.7608,-73.9988,""B02512"""
"7/1/2014 5:03:00,40.6879,-74.1815,""B02512"""
"7/1/2014 5:07:00,40.7134,-73.9928,""B02512"""
"7/1/2014 5:12:00,40.7758,-73.9837,""B02512"""
"7/1/2014 5:13:00,40.645,-73.7819,""B02512"""
"7/1/2014 5:22:00,40.7489,-73.9874,""B02512"""
"7/1/2014 5:26:00,40.7484,-73.9785,""B02512"""
"7/1/2014 5:36:00,40.7676,-73.9825,""B02512"""
"7/1/2014 5:39:00,40.7791,-73.9826,""B02512"""
"7/1/2014 5:41:00,40.7867,-73.9795,""B02512"""
"7/1/2014 5:49:00,40.7356,-74.003,""B02512"""
"7/1/2014 5:58:00,40.6459,-73.7767,""B02512"""
"7/1/2014 6:07:00,40.7664,-73.9782,""B02512"""
"7/1/2014 6:08:00,40.6451,-73.7826,""B02512"""
"7/1/2014 6:08:00,40.7758,-73.9899,""B02512"""
"7/1/2014 6:10:00,40.7742,-73.9632,""B02512"""
"7/1/2014 6:11:00,40.7731,-73.9665,""B02512"""
"7/1/2014 6:18:00,40.7745,-73.9796,""B02512"""
"7/1/2014 6:20:00,40.7402,-73.9882,""B02512"""
"7/1/2014 6:22:00,40.7443,-73.9918,""B02512"""
"7/1/2014 6:25:00,40.7607,-73.999,""B02512"""
"7/1/2014 6:25:00,40.7186,-73.9822,""B02512"""
"7/1/2014 6:28:00,40.7239,-74.0095,""B02512"""
"7/1/2014 6:30:00,40.8517,-74.0139,""B02512"""
"7/1/2014 6:30:00,40.7342,-74.0096,""B02512"""
"7/1/2014 6:33:00,40.7567,-73.9926,""B02512"""
"7/1/2014 6:33:00,40.7141,-74.0095,""B02512"""
"7/1/2014 6:39:00,40.7228,-73.9829,""B02512"""
"7/1/2014 6:39:00,40.6939,-73.9828,""B02512"""
"7/1/2014 6:40:00,40.7415,-73.9023,""B02512"""
"7/1/2014 6:42:00,40.7665,-73.9912,""B02512"""
"7/1/2014 6:45:00,40.7933,-73.9745,""B02512"""
"7/1/2014 6:50:00,40.7049,-74.0068,""B02512"""
"7/1/2014 6:51:00,40.6203,-73.9613,""B02512"""
"7/1/2014 6:51:00,40.7438,-74.0063,""B02512"""
"7/1/2014 6:53:00,40.7386,-73.9773,""B02512"""
"7/1/2014 6:54:00,40.7708,-73.8658,""B02512"""
"7/1/2014 6:54:00,40.724,-74.0108,""B02512"""
"7/1/2014 6:54:00,40.7328,-73.975,""B02512"""
"7/1/2014 6:56:00,40.7227,-74.0035,""B02512"""
"7/1/2014 6:56:00,40.7309,-74.0057,""B02512"""
"7/1/2014 6:57:00,40.6892,-74.179,""B02512"""
"7/1/2014 6:58:00,40.7769,-73.952,""B02512"""
"7/1/2014 6:58:00,40.7562,-73.9913,""B02512"""
"7/1/2014 6:59:00,40.7466,-73.9957,""B02512"""
"7/1/2014 7:05:00,40.7531,-74.0039,""B02512"""
"7/1/2014 7:06:00,40.766,-73.9593,""B02512"""
"7/1/2014 7:07:00,40.6864,-73.9876,""B02512"""
"7/1/2014 7:07:00,40.7287,-73.9946,""B02512"""
"7/1/2014 7:09:00,40.7222,-74.0028,""B02512"""
"7/1/2014 7:09:00,40.7484,-73.9768,""B02512"""
"7/1/2014 7:09:00,40.7484,-73.9768,""B02512"""
"7/1/2014 7:10:00,40.7591,-73.9959,""B02512"""
"7/1/2014 7:12:00,40.7395,-73.9952,""B02512"""
"7/1/2014 7:13:00,40.7434,-73.9742,""B02512"""
